Name,Count,
OLIVIA ,5204,
AMELIA ,4358,
ISLA ,3373,
AVA ,3289,
EMILY ,3121,
ISABELLA ,2627,
MIA ,2590,
POPPY ,2527,
ELLA ,2452,
LILY ,2405,
SOPHIA ,2398,
CHARLOTTE ,2394,
GRACE ,2309,
EVIE ,2192,
JESSICA ,2139,
SOPHIE ,2129,
ALICE ,2122,
DAISY ,2040,
FLORENCE ,2028,
FREYA ,2021,
PHOEBE ,2000,
EVELYN ,1967,
SIENNA ,1960,
ISABELLE ,1876,
IVY ,1819,
WILLOW ,1764,
MATILDA ,1736,
ELSIE ,1699,
RUBY ,1688,
SCARLETT ,1687,
SOFIA ,1664,
CHLOE ,1654,
EVA ,1634,
HARPER ,1608,
ROSIE ,1388,
EMILIA ,1380,
MILLIE ,1372,
LAYLA ,1329,
IMOGEN ,1284,
MAYA ,1257,
ELIZA ,1248,
ESME ,1235,
LOLA ,1201,
ELIZABETH ,1174,
ERIN ,1161,
MAISIE ,1142,
ARIA ,1094,
LUNA ,1093,
LUCY ,1089,
ELLIE ,1055,
HARRIET ,1053,
EMMA ,1042,
THEA ,1041,
ELEANOR ,1027,
PENELOPE ,1020,
HOLLY ,1003,
HANNAH ,998,
MOLLY ,978,
BELLA ,974,
ROSE ,932,
AMBER ,915,
VIOLET ,911,
GEORGIA ,898,
LILLY ,884,
JASMINE ,871,
DARCIE ,868,
NANCY ,861,
ANNABELLE ,855,
LOTTIE ,851,
ZARA ,842,
MARIA ,827,
AMELIE ,798,
ABIGAIL ,782,
MILA ,774,
ANNA ,730,
MARTHA ,718,
GRACIE ,703,
MARYAM ,686,
ROBYN ,680,
AURORA ,665,
IRIS ,654,
SARA ,653,
ARABELLA ,639,
BEATRICE ,628,
HEIDI ,628,
SUMMER ,626,
CLARA ,614,
ORLA ,610,
FRANCESCA ,600,
AISHA ,580,
JULIA ,576,
DARCEY ,568,
EDITH ,568,
VICTORIA ,568,
BONNIE ,563,
LYLA ,563,
DARCY ,558,
HALLIE ,556,
LEAH ,546,
MEGAN ,543,
LEXI ,538,
FELICITY ,533,
SARAH ,530,
ARIANA ,524,
ZOE ,520,
AYLA ,517,
ESMAE ,502,
SAVANNAH ,501,
ANNIE ,500,
FATIMA ,499,
NIAMH ,492,
MADDISON ,479,
EDEN ,476,
ADA ,470,
EDIE ,470,
LYDIA ,468,
BROOKE ,467,
PIPPA ,467,
ELOISE ,464,
ALEXANDRA ,460,
NEVAEH ,456,
BETHANY ,450,
ISABEL ,450,
SKYE ,449,
LACEY ,447,
LARA ,446,
MADISON ,446,
DELILAH ,444,
AALIYAH ,434,
ANAYA ,429,
MOLLIE ,424,
BETSY ,409,
FRANKIE ,409,
MYLA ,409,
ELENA ,394,
FAITH ,394,
AMAYA ,393,
TILLY ,388,
PAIGE ,387,
LILLIE ,381,
ESTHER ,380,
ZAINAB ,376,
HANNA ,375,
MYA ,374,
LAURA ,372,
GABRIELLA ,371,
PAISLEY ,369,
AMY ,368,
ISOBEL ,366,
MARNIE ,363,
OLIVE ,362,
BEATRIX ,360,
ELODIE ,359,
AUTUMN ,357,
HOLLIE ,354,
CONNIE ,353,
MARGOT ,353,
LENA ,352,
NINA ,348,
HOPE ,346,
SADIE ,346,
MABEL ,345,
ZAHRA ,345,
ARYA ,343,
SKYLA ,343,
PIPER ,334,
KATIE ,331,
ANASTASIA ,328,
SEREN ,328,
NATALIA ,321,
NAOMI ,318,
ROSA ,317,
MAJA ,316,
REBECCA ,316,
AMIRA ,306,
PENNY ,305,
ALIZA ,304,
SKYLAR ,304,
ALANA ,303,
INAAYA ,303,
ALEXA ,301,
AIZAH ,298,
LOIS ,293,
LYRA ,293,
MAGGIE ,291,
LILIANA ,290,
CLEO ,285,
KHADIJA ,283,
ZUZANNA ,282,
GEORGIE ,281,
HARLEY ,279,
LEILA ,276,
ELISE ,275,
AYESHA ,274,
HAZEL ,271,
INDIA ,267,
MARIAM ,267,
ALBA ,263,
ANNABEL ,263,
AOIFE ,263,
GEORGINA ,262,
SAFA ,262,
KEIRA ,261,
AMINA ,258,
ALICIA ,256,
AMELIA-ROSE ,256,
NICOLE ,256,
ALEXIS ,254,
CORA ,251,
LIBBY ,250,
LUCIA ,247,
AMARA ,243,
OPHELIA ,243,
TABITHA ,243,
