Age,Sex,Wing,Weight,Year
A,M,137,106,2014
A,M,136,117,2014
F,F,129,102,2014
F,F,129,99,2014
F,M,131,91,2014
F,M,131,91,2014
F,M,133,106,2014
F,M,133,103,2014
F,F,126,106,2014
F,F,124,84,2014
F,M,134,118,2014
F,M,135,111,2014
F,M,133,119,2014
F,M,128,104,2014
A,F,131,108,2014
F,M,130,85,2014
F,M,131,82,2014
F,M,130,86,2014
F,M,,93,2014
A,M,133,96,2014
A,M,133,88,2015
F,M,132,118,2014
F,M,132,113,2014
F,F,128,107,2014
F,M,134,114,2014
F,M,134,110,2014
F,M,134,99,2014
F,M,134,102,2014
F,M,133,112,2014
F,F,130,95,2014
F,F,130,95,2014
F,F,128,100,2014
F,F,,90,2014
F,F,,101,2014
A,F,132,111,2015
J,U,123,101,2014
F,F,124,113,2014
J,F,124,91,2014
J,M,128,95,2014
J,M,132,99,2014
J,F,127,91,2014
J,U,127,91,2014
J,M,129,96,2014
J,M,129,95,2014
J,U,129,95,2014
F,M,129,108,2015
U,F,,98,2014
U,F,126,99,2014
J,M,133,99,2014
F,M,133,114,2014
F,M,132,109,2015
J,U,128,96,2014
J,M,128,95,2014
J,M,131,106,2014
J,M,131,102,2014
J,U,133,99,2014
A,F,125,102,2014
J,U,123,86,2014
J,F,121,89,2014
J,M,129,120,2014
J,M,133,91,2014
J,U,123,103,2014
J,F,127,96,2014
J,M,129,97,2014
J,F,128,107,2014
U,F,127,111,2015
U,F,127,106,2015
U,F,127,106,2015
F,F,127,107,2003
A,F,134,108,2005
A,F,135,119,2006
F,M,131,105,2005
A,M,131,112,2008
F,F,125,102,2005
F,F,121,102,2005
F,F,122,103,2005
F,F,123,98,2005
A,F,129,112,2005
F,F,123,103,2005
F,M,134,108,2005
F,M,134,110,2005
A,F,131,107,2005
F,M,134,112,2005
F,M,134,105,2005
F,M,,93,2008
A,F,136,112,2005
A,F,135,107,2005
A,F,131,115,2005
F,M,135,106,2005
A,M,135,114,2005
A,M,132,95,2005
F,M,133,98,2005
A,M,140,110,2005
F,F,122,92,2005
F,F,122,96,2005
F,F,121,91,2005
F,F,123,92,2005
F,M,138,114,2005
F,M,137,115,2005
F,M,133,100,2005
F,M,133,97,2006
F,M,132,101,2005
A,M,132,95,2005
A,U,131,112,2005
A,F,131,109,2007
F,M,130,96,2005
F,F,127,103,2005
A,M,137,114,2005
F,M,129,95,2005
F,M,130,96,2005
F,F,122,102,2005
J,M,127,91,2005
F,F,124,94,2005
A,F,124,94,2006
A,F,128,97,2007
A,F,128,102,2007
A,F,127,111,2008
A,F,125,104,2008
A,F,126,105,2008
A,F,128,104,2008
A,F,128,96,2009
A,F,127,109,2010
A,F,128,118,2010
A,F,127,98,2010
A,F,127,100,2010
A,F,127,103,2010
A,F,127,92,2010
A,F,127,101,2011
A,F,127,96,2011
A,F,127,94,2012
A,F,125,103,2012
A,F,126,104,2012
F,M,126,95,2005
A,M,130,134,2006
A,M,130,115,2006
A,M,130,116,2006
A,U,130,110,2006
J,M,128,84,2005
J,M,127,98,2005
F,M,127,112,2005
A,M,131,91,2009
J,U,130,108,2005
J,U,131,103,2005
J,U,124,100,2005
F,F,123,109,2006
F,F,123,102,2006
F,F,122,99,2006
A,F,126,91,2007
A,F,,92,2007
A,F,126,95,2008
A,F,126,96,2009
J,U,,88,2005
J,U,,89,2005
F,M,127,98,2006
F,M,127,93,2006
F,M,127,93,2006
F,M,126,96,2006
F,M,129,89,2006
A,M,131,88,2008
A,M,130,88,2008
A,M,130,88,2008
A,F,124,94,2005
J,U,127,88,2005
A,M,128,98,2009
J,U,123,94,2005
F,M,123,93,2005
F,M,123,103,2005
F,M,121,100,2006
F,F,129,102,2005
F,F,128,113,2005
F,F,128,110,2006
F,F,128,107,2006
F,F,129,104,2006
F,F,129,101,2006
F,F,129,101,2006
F,F,128,110,2006
A,F,133,125,2007
A,F,,96,2008
A,F,127,106,2005
F,M,132,125,2005
A,M,138,127,2005
F,F,128,117,2005
F,F,129,120,2005
F,F,127,118,2006
F,F,129,111,2006
F,F,129,102,2006
F,F,128,101,2006
F,F,128,101,2006
F,F,127,102,2006
F,F,128,99,2006
A,F,132,120,2007
A,F,133,125,2008
A,F,133,121,2005
A,F,134,126,2005
A,F,134,123,2005
A,F,133,110,2005
U,F,134,116,2006
A,F,134,104,2006
A,F,134,113,2006
A,M,134,119,2005
A,M,134,114,2005
A,M,134,117,2005
A,M,132,98,2006
A,M,129,94,2006
U,M,133,101,2006
F,M,125,99,2005
A,F,132,126,2005
F,M,133,114,2005
F,M,133,115,2006
F,M,132,116,2006
F,M,133,116,2006
F,F,130,106,2005
F,M,130,109,2005
F,F,128,106,2005
F,F,129,112,2005
F,F,127,104,2006
F,F,129,103,2006
A,M,134,121,2005
A,U,134,134,2006
F,F,130,110,2005
F,F,132,108,2006
F,F,125,101,2005
U,F,127,119,2005
A,M,132,114,2005
A,M,136,125,2005
A,M,134,129,2006
F,F,,106,2005
A,F,130,109,2005
F,M,127,111,2005
F,M,126,93,2006
A,F,128,107,2005
A,M,135,117,2005
F,M,128,104,2005
F,F,126,105,2005
F,F,127,97,2005
A,F,128,113,2005
F,M,,114,2005
F,M,129,117,2006
F,F,124,101,2005
A,F,129,115,2005
A,M,136,114,2005
F,F,124,108,2005
F,F,124,110,2005
F,F,123,107,2006
F,F,124,112,2006
F,F,125,124,2005
A,M,130,124,2005
A,M,137,105,2005
F,M,131,126,2005
F,M,132,125,2005
F,M,133,126,2005
F,M,131,112,2006
F,M,131,108,2006
A,F,132,111,2005
A,F,135,121,2008
A,F,134,120,2009
F,M,132,115,2005
F,F,126,114,2005
F,M,130,112,2005
A,M,138,134,2005
A,M,138,132,2005
A,M,136,126,2009
A,M,137,103,2013
A,M,134,129,2005
A,M,137,117,2005
A,F,125,113,2005
A,F,125,96,2008
A,F,124,93,2008
A,F,125,93,2009
F,F,124,122,2005
F,M,136,115,2005
A,F,129,111,2005
F,M,136,115,2006
F,M,135,116,2006
F,M,132,117,2006
U,F,130,118,2006
U,F,131,112,2006
F,F,130,112,2006
F,F,131,105,2006
F,F,130,101,2006
F,M,132,117,2006
F,M,131,107,2006
F,M,132,108,2006
A,F,,112,2006
F,M,131,121,2006
F,M,131,118,2006
F,M,130,115,2006
F,M,131,119,2006
F,M,131,110,2006
F,M,130,108,2006
F,M,130,114,2006
A,M,136,129,2008
A,M,136,124,2009
A,M,136,139,2010
A,M,136,123,2010
A,M,136,92,2010
A,M,136,93,2010
A,M,137,137,2011
A,M,135,124,2006
F,F,128,113,2006
F,F,128,101,2006
F,F,128,107,2006
A,M,139,126,2006
A,M,140,130,2006
A,M,139,119,2006
A,M,139,119,2006
A,M,139,109,2006
A,M,,111,2006
A,M,139,123,2006
F,F,124,115,2006
F,F,124,104,2006
F,M,134,122,2006
F,M,134,115,2006
F,M,132,115,2006
F,M,133,111,2006
F,M,131,118,2006
F,M,130,108,2006
F,M,130,99,2006
F,M,128,102,2006
F,M,126,131,2006
F,M,123,101,2006
A,M,131,104,2008
A,M,134,113,2010
F,M,131,113,2006
F,M,125,111,2006
F,M,125,100,2006
F,M,125,100,2006
F,M,125,98,2006
F,M,125,94,2006
F,M,130,113,2006
F,M,131,118,2006
