Age,Sex,Wing,Weight,Year
A,F,132,114,2009
A,M,136,115,2009
A,F,130,127,2009
F,M,128,111,2009
F,F,122,103,2009
F,M,127,100,2009
A,M,136,106,2009
F,F,125,96,2009
A,F,135,106,2010
A,F,135,113,2010
A,F,135,119,2010
A,F,134,109,2010
A,M,132,107,2009
A,M,132,92,2009
A,M,133,131,2010
A,M,133,95,2010
A,M,134,112,2009
A,M,133,111,2009
A,M,133,125,2009
F,F,124,98,2009
F,M,128,105,2009
F,M,129,104,2009
A,M,129,95,2009
F,M,129,90,2009
F,M,130,100,2009
F,M,130,99,2009
A,F,132,120,2009
A,M,130,100,2009
A,M,130,94,2009
A,M,129,97,2009
A,M,136,110,2009
A,F,135,112,2009
A,F,130,117,2009
F,M,130,98,2009
A,M,133,117,2009
F,F,129,100,2009
A,F,130,108,2010
A,F,129,95,2010
A,M,133,94,2009
A,F,128,105,2009
A,M,135,96,2009
A,M,136,94,2009
F,F,,112,2009
F,F,,101,2009
J,U,,87,2009
J,U,,85,2009
J,U,,88,2009
J,F,125,90,2009
J,U,,87,2009
U,F,130,94,2009
A,F,130,99,2010
A,M,132,100,2009
J,M,,91,2009
J,M,130,96,2009
F,M,130,136,2010
A,M,133,96,2009
A,M,133,86,2009
A,M,132,89,2009
J,U,,80,2009
J,U,,87,2009
J,M,,95,2009
J,M,131,100,2009
J,M,132,103,2009
J,M,131,107,2009
J,M,,95,2009
J,M,,87,2009
J,M,,91,2009
J,M,129,94,2009
J,M,128,91,2009
J,U,127,90,2009
J,M,130,98,2009
J,M,130,96,2009
F,M,129,115,2009
F,M,131,93,2010
J,U,,92,2009
J,U,,80,2009
J,U,,80,2009
J,F,121,85,2009
J,F,122,86,2009
J,F,121,86,2009
J,M,132,87,2009
J,U,132,86,2009
J,M,131,94,2009
A,M,136,88,2011
A,M,133,89,2012
J,M,,84,2009
J,M,,91,2009
A,F,130,107,2009
F,M,129,97,2009
J,U,129,93,2009
J,F,123,91,2009
J,F,122,92,2009
J,F,122,89,2009
J,F,123,89,2009
J,F,123,87,2009
A,M,132,105,2009
J,M,130,96,2009
J,M,130,86,2009
J,U,130,92,2009
J,U,129,85,2009
J,M,130,97,2009
J,M,131,94,2009
A,F,129,106,2009
A,F,128,112,2012
J,F,,83,2009
J,F,,83,2009
J,U,127,104,2009
J,U,127,99,2009
J,U,127,96,2009
F,F,126,115,2010
J,U,127,100,2009
A,M,127,93,2009
J,F,,84,2009
J,M,,82,2009
J,F,123,93,2009
J,F,124,95,2009
F,F,123,107,2010
J,F,123,99,2009
J,F,123,99,2009
J,U,,90,2009
J,F,,90,2009
J,F,,94,2009
A,F,128,106,2009
A,F,128,97,2009
J,M,129,96,2009
J,M,,90,2009
J,F,,96,2009
J,F,124,100,2009
J,M,131,103,2009
J,M,131,111,2009
J,M,128,91,2009
F,M,126,94,2009
U,M,,101,2010
J,M,,98,2009
J,M,127,95,2009
J,M,,86,2009
J,M,,86,2009
J,M,,85,2009
J,M,,88,2009
J,M,124,85,2009
J,M,126,93,2009
J,M,125,86,2009
J,M,125,86,2009
J,M,126,89,2009
J,M,,93,2009
J,U,125,92,2009
J,U,,89,2009
A,M,132,96,2009
J,F,,89,2009
J,F,121,94,2009
J,M,,91,2009
J,M,131,114,2009
J,M,131,112,2009
J,M,131,104,2009
J,M,,77,2009
J,M,,74,2009
F,M,,107,2009
J,F,122,91,2009
J,F,129,95,2009
J,F,127,108,2009
J,M,,93,2009
A,M,136,102,2009
A,F,130,94,2009
J,F,124,82,2009
J,M,129,101,2009
J,M,130,98,2009
F,M,129,119,2009
J,U,124,91,2009
U,F,129,92,2009
J,M,127,90,2009
J,M,130,101,2009
F,M,126,100,2009
F,M,127,133,2010
A,M,130,101,2012
A,M,130,99,2012
A,M,130,90,2012
A,M,128,94,2013
J,U,132,100,2009
F,M,133,107,2009
J,M,130,101,2009
F,M,130,99,2009
F,F,127,112,2009
F,F,127,113,2009
F,F,127,116,2009
F,F,128,124,2009
F,F,128,131,2010
F,F,125,95,2009
F,M,128,106,2009
A,M,132,,2009
F,F,133,118,2009
F,F,134,123,2010
F,M,124,120,2009
F,M,134,130,2009
F,M,134,128,2010
F,M,134,127,2010
F,M,134,122,2010
F,M,135,126,2010
F,M,134,122,2010
F,M,134,116,2010
F,M,134,113,2010
F,M,133,113,2010
F,M,134,113,2010
F,M,128,106,2009
F,M,128,105,2009
F,F,123,110,2009
A,F,125,90,2011
F,F,125,110,2009
F,M,132,113,2009
F,M,133,112,2010
F,M,132,93,2010
A,M,136,120,2009
F,M,129,120,2009
A,F,129,118,2009
F,F,130,134,2009
F,F,130,137,2010
F,F,131,123,2010
F,F,130,110,2010
F,F,131,111,2010
F,F,130,115,2010
A,F,131,115,2011
A,F,,115,2011
F,M,129,133,2009
A,M,138,149,2009
F,F,132,128,2009
A,F,128,122,2009
A,F,127,120,2009
F,M,128,129,2009
F,M,128,95,2010
A,M,129,108,2012
F,M,126,114,2009
F,M,132,128,2009
F,M,131,131,2010
A,M,137,135,2009
F,F,130,128,2009
F,F,123,103,2009
F,M,127,122,2009
A,M,,100,2011
A,M,136,129,2009
A,M,134,139,2010
A,M,138,120,2009
A,F,128,118,2010
F,M,126,119,2010
F,M,129,115,2010
A,M,133,114,2010
A,M,137,135,2010
A,M,134,105,2010
F,F,122,120,2010
F,F,129,116,2010
F,F,128,118,2010
F,F,129,116,2010
F,F,129,105,2010
F,M,136,133,2010
F,F,126,106,2010
F,M,132,120,2010
A,M,134,128,2010
A,M,136,117,2010
A,M,134,132,2010
A,F,125,130,2010
F,F,128,125,2010
F,F,127,109,2010
F,M,127,112,2010
A,F,132,104,2010
F,F,130,95,2010
F,F,128,107,2010
F,F,130,103,2010
F,F,130,102,2010
F,F,129,101,2010
F,F,129,99,2010
A,M,136,130,2010
F,M,130,104,2010
F,M,130,110,2010
F,M,130,104,2010
F,M,130,102,2010
F,M,129,96,2010
F,M,130,112,2010
A,F,125,103,2010
A,F,125,104,2010
A,M,133,135,2010
F,F,127,98,2010
A,M,130,100,2010
A,M,129,107,2010
A,M,133,122,2010
A,F,125,123,2010
A,F,126,106,2010
F,M,128,112,2010
F,M,129,115,2010
F,M,129,122,2010
F,M,129,118,2010
F,M,133,117,2010
F,M,133,123,2010
F,M,133,114,2010
F,F,122,108,2010
F,F,122,96,2010
F,F,127,121,2010
A,F,129,114,2011
A,F,132,115,2010
F,F,125,120,2010
F,F,125,116,2010
F,M,129,124,2010
A,M,133,110,2012
F,M,133,137,2010
F,M,132,122,2010
F,M,133,114,2010
F,M,133,117,2010
F,M,129,118,2010
A,F,133,124,2010
A,F,130,121,2010
F,F,126,118,2010
F,M,127,99,2010
A,M,131,109,2010
F,F,126,112,2010
A,M,135,131,2010
F,M,131,115,2010
F,M,131,112,2010
A,M,136,130,2010
U,F,127,114,2010
A,M,131,114,2010
A,F,132,117,2010
F,M,130,117,2010
A,M,130,110,2010
A,M,131,104,2010
A,M,131,103,2010
A,M,132,94,2010
A,F,128,118,2010
F,M,136,128,2010
F,M,131,98,2010
F,M,136,127,2010
A,M,134,115,2010
A,M,133,112,2010
A,M,132,92,2010
A,M,132,90,2010
A,M,133,85,2013
F,M,131,101,2010
F,M,132,92,2010
A,M,136,123,2010
F,F,123,96,2010
A,F,132,111,2010
F,F,128,105,2010
F,F,125,94,2010
A,F,132,99,2010
F,F,122,98,2010
F,F,124,109,2010
F,F,125,104,2010
A,M,134,98,2010
A,M,133,110,2010
A,M,134,111,2010
F,M,128,92,2010
A,M,131,118,2010
F,M,130,123,2010
F,M,127,100,2010
F,M,126,90,2010
F,M,134,114,2010
F,M,133,111,2010
F,F,126,98,2010
F,F,124,90,2010
A,F,125,114,2010
A,F,125,99,2010
A,F,126,100,2011
J,M,,82,2010
J,F,,85,2010
J,F,,78,2010
J,F,120,99,2010
J,U,120,96,2010
J,U,121,96,2010
J,F,120,99,2010
F,F,120,126,2010
F,F,120,108,2011
J,F,,82,2010
J,F,,104,2010
A,M,133,89,2010
A,M,132,89,2010
J,U,,75,2010
J,U,,78,2010
J,U,,79,2010
J,U,,85,2010
J,U,126,90,2010
F,M,,105,2010
F,M,,103,2010
F,M,,99,2010
F,M,,103,2010
A,M,135,140,2011
A,M,135,104,2011
A,M,,108,2011
F,F,123,106,2010
F,F,123,107,2010
A,F,125,97,2012
A,F,125,96,2012
A,F,126,92,2012
A,F,,104,2010
A,F,,102,2010
J,M,,91,2010
J,M,127,101,2010
F,M,128,124,2011
J,U,,85,2010
J,M,,82,2010
J,M,129,100,2010
J,M,,94,2010
J,U,129,99,2010
J,M,,89,2010
J,M,,86,2010
J,U,125,93,2010
F,M,,95,2011
F,M,,96,2010
J,U,125,99,2010
F,F,125,106,2011
F,F,125,92,2011
F,F,125,94,2011
F,F,125,92,2011
J,U,129,95,2010
J,U,,91,2010
J,U,125,87,2010
A,F,134,108,2010
J,U,,92,2010
J,U,123,91,2010
F,F,123,105,2011
F,F,122,96,2011
J,M,130,95,2010
F,M,129,115,2010
J,U,130,98,2010
J,U,127,90,2010
J,M,128,96,2010
J,U,127,89,2010
F,F,130,103,2010
J,M,,72,2010
J,M,130,102,2010
F,M,129,91,2011
F,M,129,91,2011
J,M,131,115,2010
F,M,133,152,2010
F,M,,108,2011
A,M,136,105,2013
A,M,135,102,2013
J,U,122,82,2010
J,M,131,99,2010
F,M,130,95,2011
F,M,130,97,2011
J,M,128,107,2010
A,M,130,103,2012
F,M,126,93,2010
F,M,126,93,2011
J,U,121,99,2010
F,F,125,108,2010
F,M,130,111,2010
F,F,125,123,2010
F,F,126,118,2011
F,F,126,115,2011
F,F,126,118,2010
F,F,127,125,2010
F,F,127,136,2010
F,F,126,136,2011
F,F,127,133,2011
F,F,127,134,2011
F,F,127,109,2011
F,F,126,103,2011
F,F,126,105,2011
F,F,125,103,2011
A,F,130,122,2010
F,F,124,126,2010
F,F,129,119,2010
A,F,124,111,2011
F,F,123,114,2011
F,F,123,97,2011
F,M,129,126,2011
A,F,128,124,2011
A,M,134,123,2011
F,M,131,123,2011
F,M,127,124,2011
F,M,134,110,2011
F,M,128,123,2011
A,F,127,119,2011
F,F,131,137,2011
A,M,135,121,2011
F,F,127,113,2011
F,F,130,140,2011
A,M,133,150,2011
A,M,135,120,2011
A,M,139,129,2011
F,F,127,131,2011
A,M,133,141,2011
A,M,133,137,2011
A,M,138,136,2011
A,F,121,114,2011
A,M,135,136,2011
F,M,127,108,2011
U,F,132,128,2011
F,F,130,102,2011
F,F,128,127,2011
F,F,132,129,2011
F,M,135,137,2011
F,F,130,126,2011
F,F,130,125,2011
A,F,120,94,2011
F,F,132,141,2011
F,F,132,128,2011
F,M,132,131,2011
F,F,126,125,2011
A,F,130,130,2011
F,F,127,116,2011
F,F,127,131,2011
F,F,127,126,2011
A,F,125,129,2011
A,F,125,122,2011
A,F,125,113,2011
F,M,124,115,2011
F,M,123,88,2011
F,M,123,88,2011
F,M,122,88,2011
A,M,128,98,2011
A,M,127,92,2012
A,M,128,91,2012
A,M,128,89,2012
U,M,129,94,2012
A,M,129,87,2013
F,M,132,114,2011
A,F,127,113,2011
A,F,130,124,2011
A,M,133,102,2011
F,M,127,107,2011
F,F,127,106,2011
F,M,127,120,2011
F,M,127,118,2011
A,M,129,102,2011
F,M,135,120,2011
F,M,135,121,2011
F,M,134,113,2011
A,F,130,124,2011
F,F,128,104,2011
F,F,128,103,2011
F,F,129,100,2011
F,M,133,113,2011
F,F,125,102,2011
F,M,133,119,2011
F,M,130,119,2011
F,M,129,113,2011
F,M,130,120,2011
F,M,130,119,2011
A,M,134,120,2011
A,M,134,117,2011
F,F,124,105,2011
F,F,124,105,2011
F,M,128,119,2011
F,M,127,114,2011
F,F,127,127,2011
U,F,127,124,2011
U,F,126,108,2011
F,F,128,98,2011
F,F,123,117,2011
F,F,123,109,2011
F,F,123,110,2011
F,F,129,116,2011
F,M,127,115,2011
A,M,131,96,2012
A,M,134,120,2011
F,M,129,116,2011
F,M,129,109,2011
F,F,132,137,2011
F,M,134,126,2011
A,M,136,111,2011
F,M,128,110,2011
A,M,135,127,2011
F,M,132,114,2011
F,F,125,112,2011
A,F,127,125,2011
A,M,140,138,2011
A,M,140,115,2011
A,M,140,127,2011
F,F,126,98,2011
F,F,126,103,2011
F,F,127,99,2011
F,F,127,99,2011
F,M,131,123,2011
F,F,129,116,2011
F,M,134,117,2011
F,F,129,102,2011
F,F,129,99,2011
F,F,129,98,2011
A,M,134,99,2011
F,F,128,107,2011
F,M,135,120,2011
A,F,127,115,2011
A,F,127,99,2011
F,F,127,109,2011
F,F,127,106,2011
F,M,138,110,2011
F,M,136,102,2011
F,M,136,100,2011
F,M,136,103,2011
F,M,136,106,2011
F,M,,105,2011
F,F,129,101,2011
F,F,130,100,2011
F,M,130,96,2011
F,M,130,93,2011
A,M,132,87,2011
F,F,129,108,2011
F,M,129,99,2011
F,M,128,101,2011
A,F,128,104,2011
J,F,126,98,2011
J,M,130,95,2011
J,U,131,100,2011
J,M,131,89,2011
J,M,131,108,2011
J,M,,77,2011
J,U,,97,2011
J,U,124,89,2011
J,U,124,84,2011
J,U,120,95,2011
J,M,130,94,2011
J,U,129,97,2011
A,M,131,105,2011
J,U,124,92,2011
J,U,,102,2011
J,U,126,96,2011
J,F,126,101,2011
F,F,,106,2011
F,F,128,99,2011
J,U,,88,2011
J,U,126,87,2011
F,M,126,96,2012
J,U,125,83,2011
J,M,,89,2011
J,M,127,89,2011
J,U,126,96,2011
F,M,126,102,2012
J,U,121,90,2011
F,F,,93,2011
J,M,130,108,2011
F,M,129,115,2012
U,M,134,101,2011
A,M,135,94,2012
A,M,133,92,2012
U,M,,104,2012
U,M,,96,2012
U,M,,103,2012
A,M,130,103,2012
A,F,129,109,2011
F,F,126,104,2011
F,M,130,107,2012
F,M,129,104,2012
F,M,130,104,2012
F,M,128,94,2012
F,M,128,90,2012
A,M,132,101,2012
F,M,137,112,2012
A,F,136,113,2012
A,F,136,109,2012
F,M,128,104,2012
F,M,129,103,2012
A,M,133,124,2012
A,M,134,102,2012
A,M,134,101,2012
F,M,130,98,2012
F,M,130,109,2012
A,F,132,115,2012
A,F,128,89,2012
F,F,127,103,2012
F,F,128,114,2012
F,M,136,103,2012
F,M,135,114,2012
F,M,132,105,2012
F,F,124,96,2012
A,M,137,100,2012
A,M,133,106,2012
F,M,130,113,2012
F,F,125,107,2012
F,M,131,107,2012
F,M,130,106,2012
F,M,128,96,2012
F,M,128,94,2012
F,M,128,90,2012
F,M,127,89,2012
A,F,132,104,2012
F,M,132,115,2012
F,M,132,117,2012
F,M,131,118,2012
A,F,129,115,2012
A,F,131,103,2012
U,F,130,106,2012
A,M,134,112,2012
A,M,131,108,2012
A,F,129,99,2012
F,M,131,106,2012
F,F,127,112,2012
F,F,127,106,2012
F,F,127,99,2012
F,F,125,99,2012
F,F,127,101,2012
F,F,127,102,2012
A,M,135,116,2012
F,M,134,116,2012
F,M,133,112,2012
A,M,135,106,2013
F,M,124,103,2012
F,F,125,112,2012
F,M,131,106,2012
A,F,127,116,2012
F,F,123,100,2012
F,F,125,107,2012
F,M,135,120,2012
F,M,132,110,2012
F,M,132,102,2012
A,F,127,106,2012
A,F,132,96,2012
A,F,129,121,2012
A,M,136,117,2012
A,F,132,115,2012
A,F,132,118,2012
F,M,131,110,2012
F,F,128,101,2012
A,F,125,98,2012
A,F,127,113,2012
A,M,130,109,2012
F,F,125,110,2012
F,M,128,99,2012
A,M,134,115,2012
F,M,134,101,2012
A,M,132,98,2012
A,M,132,103,2012
A,M,133,101,2012
A,F,131,118,2012
F,F,127,103,2012
F,M,131,120,2012
F,M,133,120,2012
F,F,126,102,2012
A,F,129,117,2012
F,M,128,121,2012
F,F,130,114,2012
A,M,132,124,2012
A,F,128,119,2012
F,M,131,124,2012
U,M,131,125,2012
A,M,139,121,2012
A,M,137,116,2012
A,M,137,115,2012
A,F,131,117,2012
A,F,132,110,2012
A,F,131,110,2012
A,F,126,107,2012
A,F,125,107,2012
A,M,135,120,2012
A,M,136,115,2012
F,M,131,111,2012
A,M,129,118,2012
A,F,131,117,2012
F,F,121,95,2012
A,F,131,114,2012
F,F,126,99,2012
F,M,127,101,2012
F,M,127,104,2012
F,M,125,99,2012
F,F,123,114,2012
F,M,130,113,2012
F,M,130,106,2012
A,M,132,112,2012
A,M,133,104,2012
A,M,134,106,2012
F,M,128,110,2012
F,F,126,102,2012
F,F,128,101,2012
F,M,132,125,2012
F,F,126,95,2012
F,M,129,103,2012
A,F,125,100,2012
A,F,126,98,2012
A,F,121,90,2012
A,F,120,90,2012
A,F,129,100,2012
U,F,121,92,2012
F,F,122,93,2012
F,F,122,91,2012
F,F,122,95,2012
F,F,129,105,2012
J,U,,91,2012
F,F,126,90,2012
A,F,127,101,2013
J,U,126,88,2012
A,F,,93,2012
J,M,131,98,2012
J,M,131,104,2012
F,M,131,119,2013
F,M,132,104,2013
F,M,131,101,2013
F,M,131,102,2013
F,M,,103,2013
F,M,,100,2013
A,M,131,109,2014
A,M,131,111,2015
A,M,133,106,2015
A,M,132,112,2015
A,M,132,101,2015
J,M,,72,2012
U,M,132,108,2012
J,U,127,97,2012
F,M,,109,2013
F,M,127,90,2013
F,M,126,93,2013
F,M,,91,2013
A,M,129,98,2014
A,M,130,96,2014
A,M,129,96,2014
A,M,129,87,2014
U,M,129,98,2014
J,M,129,106,2012
J,M,130,102,2012
A,M,132,108,2012
F,F,122,106,2012
F,M,136,108,2012
A,M,134,104,2012
A,M,136,100,2012
F,M,133,107,2012
F,F,124,,2012
F,F,123,107,2012
F,F,125,104,2012
F,F,124,133,2013
F,F,125,105,2013
F,F,125,101,2013
F,F,124,94,2013
F,F,124,95,2013
F,F,,85,2013
A,F,126,94,2014
A,F,127,114,2014
F,M,130,118,2012
F,F,127,121,2012
A,M,135,90,2012
A,M,137,119,2012
F,M,130,117,2012
A,M,129,103,2012
A,M,131,100,2013
A,F,130,110,2012
A,F,128,115,2013
F,M,128,115,2013
F,M,130,119,2013
F,M,128,103,2013
F,M,,111,2013
F,M,130,97,2013
F,M,128,94,2013
F,M,128,101,2013
A,M,133,90,2014
A,M,133,106,2013
A,M,134,104,2013
F,M,133,105,2013
A,M,133,118,2013
A,M,133,116,2013
A,M,132,110,2013
A,M,132,106,2013
A,M,132,109,2013
F,M,131,109,2013
F,M,132,120,2013
F,M,132,120,2013
F,M,128,106,2013
F,M,127,100,2013
A,M,135,110,2013
A,F,129,96,2013
F,F,125,102,2013
F,F,125,105,2013
A,F,130,106,2013
A,F,130,109,2013
A,F,133,115,2013
A,M,136,107,2013
F,M,128,105,2013
F,M,134,109,2013
F,M,132,118,2013
F,M,132,114,2013
F,M,132,108,2013
F,M,133,107,2013
F,M,134,123,2013
F,M,137,122,2013
A,F,135,107,2013
A,F,129,107,2013
A,F,130,108,2013
F,F,126,98,2013
F,F,129,118,2013
A,M,135,124,2013
A,M,136,122,2013
A,M,139,132,2013
F,M,134,117,2013
F,M,135,106,2013
A,M,132,113,2013
A,M,132,113,2013
A,M,135,109,2013
A,M,135,120,2013
A,F,132,117,2013
A,M,135,126,2013
F,M,130,118,2013
F,M,131,116,2013
F,M,131,116,2013
F,M,131,112,2013
F,F,127,106,2013
A,F,130,113,2013
A,M,132,120,2013
F,M,125,105,2013
F,M,125,107,2013
F,M,125,103,2013
F,M,125,105,2013
F,M,125,96,2013
F,M,125,95,2013
F,M,125,94,2013
F,M,125,92,2013
A,F,126,110,2013
F,M,132,121,2013
F,F,128,109,2013
F,F,126,111,2013
F,F,122,113,2013
F,M,133,113,2013
A,F,133,121,2013
F,F,127,125,2013
F,M,130,109,2013
F,F,133,113,2013
F,F,134,107,2013
F,F,133,99,2013
F,F,134,113,2013
F,F,133,114,2013
F,M,137,120,2013
F,M,136,112,2013
F,F,123,92,2013
F,F,123,91,2013
F,M,131,110,2013
F,M,132,106,2013
F,M,133,123,2013
A,M,136,97,2013
F,M,133,116,2013
F,M,133,121,2013
F,M,133,117,2013
F,M,132,111,2013
F,M,133,112,2013
F,M,133,129,2013
F,M,133,121,2013
A,M,135,116,2014
A,M,134,113,2014
F,F,130,100,2013
F,M,131,95,2013
F,F,126,99,2013
F,M,134,111,2013
F,M,133,116,2013
A,M,134,118,2013
A,M,136,107,2013
A,M,141,134,2013
A,M,141,126,2013
A,M,134,119,2013
F,F,129,108,2013
F,F,127,109,2013
F,F,127,105,2013
F,F,127,105,2013
F,F,123,87,2013
A,F,130,98,2013
A,M,136,114,2013
A,F,133,103,2013
A,F,133,100,2013
A,F,129,95,2013
F,F,124,94,2013
A,F,134,115,2013
A,F,133,108,2013
A,F,133,122,2013
A,F,133,122,2013
A,M,131,109,2013
A,M,131,115,2013
A,M,131,117,2013
F,F,132,114,2013
A,F,129,111,2013
F,M,130,94,2013
F,M,130,99,2013
A,M,135,101,2014
A,M,134,101,2014
A,M,134,101,2014
A,M,135,96,2014
F,F,125,101,2013
F,F,,102,2013
F,F,,97,2013
A,F,130,106,2013
A,F,131,95,2014
U,M,132,95,2014
A,M,132,95,2014
J,M,130,100,2013
J,M,129,99,2013
F,M,,100,2013
A,M,132,94,2014
F,M,128,92,2013
J,M,128,89,2013
J,M,128,91,2013
F,M,129,94,2013
J,M,,82,2013
J,U,,84,2013
J,U,,87,2013
A,F,128,95,2013
J,M,131,89,2013
J,U,,82,2013
J,U,,87,2013
J,U,,89,2013
J,U,,87,2013
F,F,123,95,2013
F,F,,95,2013
U,F,,104,2013
J,M,,95,2013
J,U,,69,2013
F,M,,83,2013
A,F,126,92,2013
A,F,125,90,2013
A,F,128,95,2014
A,F,126,89,2014
J,F,,92,2013
J,U,,87,2013
F,M,,95,2013
F,M,,94,2013
J,U,122,91,2013
F,F,122,101,2014
J,U,124,91,2013
F,F,123,93,2014
F,F,,86,2014
J,M,132,96,2014
J,M,131,106,2014
F,M,131,117,2015
J,F,125,97,2014
J,U,126,103,2014
F,F,125,111,2015
F,F,125,110,2015
F,F,125,112,2015
A,M,136,121,2014
F,M,129,118,2014
F,M,129,118,2015
F,M,132,117,2014
F,M,132,115,2014
A,M,134,113,2014
A,F,132,122,2014
F,M,125,106,2014
F,M,126,103,2014
F,M,125,105,2015
F,M,124,94,2015
F,F,126,122,2014
F,F,125,105,2015
F,M,132,111,2014
F,M,134,119,2015
F,M,133,110,2015
F,M,134,111,2015
F,M,133,110,2015
F,M,133,109,2015
F,M,132,107,2014
A,M,135,105,2014
F,F,125,107,2014
A,M,138,126,2014
A,M,136,118,2014
A,M,136,118,2015
A,M,139,127,2014
A,M,139,125,2014
A,M,139,130,2015
A,M,139,125,2015
A,M,139,119,2015
A,M,139,116,2015
A,M,141,118,2014
F,F,124,104,2014
F,M,130,115,2014
A,F,139,111,2014
A,F,129,121,2014
F,F,131,117,2014
A,M,132,105,2014
F,M,130,109,2014
F,F,126,105,2014
F,M,135,126,2015
F,M,132,119,2015
F,M,133,128,2015
A,F,132,109,2015
A,M,137,127,2015
A,M,135,117,2015
A,F,130,115,2015
F,M,136,117,2015
F,F,127,111,2015
F,M,128,112,2015
F,F,131,128,2015
F,F,131,103,2015
F,F,131,103,2015
F,M,134,113,2015
F,M,133,112,2015
F,M,133,109,2015
F,M,134,115,2015
F,M,133,109,2015
F,M,132,110,2015
F,M,,105,2015
F,M,133,106,2015
F,M,133,106,2015
F,M,132,109,2015
F,M,132,109,2015
F,M,133,108,2015
F,M,133,113,2015
F,M,134,119,2015
F,M,125,106,2015
F,M,133,117,2015
F,M,130,111,2015
F,M,130,109,2015
F,M,131,108,2015
F,M,130,106,2015
A,M,137,117,2015
F,F,129,106,2015
F,F,127,109,2015
F,F,128,108,2015
F,F,128,107,2015
F,M,136,111,2015
F,M,130,100,2015
F,M,130,109,2015
F,M,125,110,2015
A,M,136,114,2015
A,M,137,115,2015
A,M,136,111,2015
A,M,136,113,2015
A,M,136,105,2015
A,M,136,113,2015
F,M,130,125,2015
F,M,132,112,2015
F,M,131,104,2015
A,M,136,118,2015
A,M,137,123,2015
F,M,134,111,2015
F,M,134,126,2015
F,F,131,107,2015
F,F,132,107,2015
F,F,128,108,2015
F,F,127,112,2015
A,F,129,89,2015
A,F,131,113,2015
F,F,127,113,2015
F,M,132,111,2015
F,M,138,116,2015
A,M,132,107,2015
F,M,132,122,2015
F,M,137,124,2015
F,M,137,117,2015
A,M,144,129,2015
F,M,130,125,2015
A,M,136,118,2015
A,M,136,117,2015
F,M,132,121,2015
F,M,133,135,2015
F,M,132,115,2015
A,M,137,117,2015
A,M,138,118,2015
A,M,137,125,2015
F,F,124,111,2015
F,F,125,109,2015
F,M,129,103,2015
F,M,130,99,2015
F,M,130,100,2015
F,M,130,94,2015
F,M,132,114,2015
F,M,132,102,2015
F,F,129,102,2015
F,F,131,112,2015
F,M,131,107,2015
A,F,132,119,2015
F,M,130,106,2015
F,F,130,103,2015
F,F,126,113,2015
F,M,133,118,2015
F,M,128,94,2015
F,M,133,119,2015
F,F,128,101,2015
A,M,133,104,2015
A,F,130,117,1989
A,F,,115,1989
A,F,133,114,1998
A,F,131,125,1998
A,F,132,121,1998
A,F,129,100,1989
A,M,133,92,1989
J,U,130,91,1989
J,M,129,90,1989
J,M,129,99,1989
F,F,127,105,1989
J,M,128,99,1989
J,F,120,102,1989
J,U,124,94,1989
A,F,121,96,1989
A,F,120,100,1990
A,F,120,90,1990
U,F,120,89,1990
A,F,124,92,1991
A,F,125,94,1993
F,F,126,98,1989
F,F,124,102,1989
U,F,127,99,1990
U,F,122,100,1992
U,F,124,101,1993
A,M,135,98,1989
F,F,124,119,1990
F,F,123,104,1990
A,F,127,98,1990
A,F,127,101,1991
A,F,127,101,1992
A,F,125,98,1993
F,F,124,104,1990
F,F,,107,1990
F,F,125,100,1990
A,F,133,115,1990
A,M,129,105,1990
A,M,,99,1990
F,M,131,104,1990
F,M,129,100,1990
A,M,132,97,1992
F,F,121,97,1990
F,M,126,100,1990
F,M,127,100,1990
F,M,130,100,1990
A,M,134,99,1991
A,M,133,97,1991
A,M,,96,1991
A,F,127,93,1990
F,M,124,92,1990
F,M,123,92,1990
A,F,125,89,1990
F,M,133,101,1990
F,F,125,93,1990
J,M,,84,1990
J,M,125,,1990
J,M,127,92,1990
J,U,,86,1990
J,U,125,89,1990
J,M,125,98,1990
J,U,123,93,1990
A,F,130,92,1990
U,F,128,,1993
A,F,131,96,1994
A,F,130,90,1994
A,F,131,90,1995
A,F,128,110,1995
J,U,123,89,1990
J,M,127,80,1990
J,M,129,100,1990
J,M,131,95,1990
J,U,,102,1990
A,F,124,94,1990
A,F,123,88,1990
A,F,124,101,1994
A,M,132,100,1990
J,U,126,96,1990
F,M,128,94,1990
J,M,128,89,1990
A,F,136,103,1992
J,M,129,88,1990
J,M,124,87,1990
J,U,125,96,1990
J,F,121,80,1990
J,M,125,80,1990
J,M,116,101,1990
J,U,122,85,1990
J,U,119,86,1990
J,U,124,84,1990
J,U,125,89,1990
A,F,128,108,1992
A,F,126,100,1992
A,F,128,88,1992
A,F,126,98,1994
A,F,127,98,1995
A,F,127,94,1995
A,F,127,95,1995
A,F,127,84,1995
A,F,125,87,1996
A,F,127,88,1996
J,U,124,87,1990
J,M,129,94,1990
J,M,131,90,1990
J,M,,90,1990
J,M,131,89,1990
J,M,130,90,1990
J,M,130,77,1990
J,M,130,88,1990
J,U,129,78,1990
F,M,131,93,1991
F,M,129,93,1991
A,M,132,108,1992
A,M,133,85,1992
A,M,133,86,1992
J,M,124,89,1990
J,M,125,82,1990
J,U,130,100,1990
J,M,114,98,1990
J,M,128,97,1990
J,M,127,104,1990
J,M,126,87,1990
J,F,127,89,1990
J,U,122,90,1990
J,U,127,95,1990
F,F,,119,1991
A,F,128,115,1992
A,F,128,118,1992
