Name,Count,
AMELIA ,5327,
OLIVIA ,4724,
ISLA ,4012,
EMILY ,3991,
POPPY ,3273,
AVA ,3171,
ISABELLA ,3022,
JESSICA ,2995,
LILY ,2965,
SOPHIE ,2905,
GRACE ,2785,
SOPHIA ,2752,
MIA ,2727,
EVIE ,2664,
RUBY ,2595,
ELLA ,2465,
SCARLETT ,2359,
ISABELLE ,2241,
CHLOE ,2215,
SIENNA ,2174,
FREYA ,2164,
PHOEBE ,2099,
CHARLOTTE ,2018,
DAISY ,1957,
ALICE ,1783,
FLORENCE ,1781,
EVA ,1725,
SOFIA ,1692,
MILLIE ,1685,
LUCY ,1664,
EVELYN ,1506,
ELSIE ,1497,
ROSIE ,1475,
IMOGEN ,1463,
LOLA ,1441,
MATILDA ,1440,
ELIZABETH ,1398,
LAYLA ,1391,
HOLLY ,1362,
LILLY ,1352,
MOLLY ,1349,
ERIN ,1343,
ELLIE ,1308,
MAISIE ,1221,
MAYA ,1200,
ABIGAIL ,1181,
ELIZA ,1165,
GEORGIA ,1163,
JASMINE ,1155,
ESME ,1151,
WILLOW ,1142,
BELLA ,1141,
ANNABELLE ,1108,
IVY ,1103,
AMBER ,1089,
EMILIA ,1082,
EMMA ,1071,
SUMMER ,1067,
HANNAH ,1061,
ELEANOR ,1049,
HARRIET ,1016,
ROSE ,990,
AMELIE ,988,
LEXI ,972,
MEGAN ,879,
GRACIE ,871,
ZARA ,838,
LACEY ,829,
MARTHA ,807,
ANNA ,804,
VIOLET ,754,
DARCEY ,727,
MARIA ,707,
MARYAM ,705,
BROOKE ,703,
AISHA ,702,
KATIE ,701,
LEAH ,683,
THEA ,678,
DARCIE ,677,
HOLLIE ,673,
AMY ,668,
MOLLIE ,663,
HEIDI ,662,
LOTTIE ,662,
BETHANY ,648,
FRANCESCA ,646,
FAITH ,642,
HARPER ,623,
NANCY ,615,
BEATRICE ,610,
ISABEL ,608,
DARCY ,606,
LYDIA ,602,
SARAH ,601,
SARA ,596,
JULIA ,593,
VICTORIA ,584,
ZOE ,580,
ROBYN ,577,
PENELOPE ,575,
FATIMA ,562,
NIAMH ,554,
ELSA ,537,
PAIGE ,537,
MILA ,533,
ALEXANDRA ,529,
IRIS ,522,
SKYE ,518,
TILLY ,517,
ISOBEL ,509,
ELOISE ,508,
LYLA ,497,
NEVAEH ,490,
ANNIE ,484,
LARA ,484,
MADDISON ,477,
MADISON ,477,
ANNABEL ,468,
SEREN ,468,
CLARA ,464,
EDITH ,456,
ORLA ,456,
KEIRA ,447,
AALIYAH ,446,
ARABELLA ,439,
ALEXIS ,437,
GABRIELLA ,435,
LENA ,424,
LAUREN ,415,
ZAINAB ,413,
ANAYA ,412,
FELICITY ,412,
SAVANNAH ,412,
